w_um,l_um,metric_name,target_value,simulated_value,relative_error
0.28,0.028,idsat_a,0.000482249308817,0.000484869,0.005432234189047082
0.28,0.028,idoff_a,2.04253457748e-12,1.99007e-12,0.025686016804047987
0.28,0.028,isoff_a,1.96191911378e-13,1.90069e-13,0.03120878600444988
0.28,0.056,vtlin_v,0.661258993729,0.646739,0.02195810396032312
0.28,0.056,vtsat_v,0.528515591976,0.529547,0.001951518630025341
0.28,0.056,idlin_a,1.35136710316e-05,1.3532e-05,0.0013563278517835645
0.28,0.056,idsat_a,0.000170554214957,0.000171715,0.006805959285689068
0.28,0.056,idoff_a,1.79855478263e-12,1.80015e-12,0.000886943998262494
0.28,0.056,isoff_a,1.50873785363e-16,1.50648e-16,0.0014965181821133147
0.28,0.14,vtlin_v,0.464609724951,0.480634,0.03448975384811414
0.28,0.14,vtsat_v,0.421157404491,0.435946,0.03511417667433187
0.28,0.14,idlin_a,8.30165158917e-06,8.34722e-06,0.005489077726346195
0.28,0.14,idsat_a,9.97786817858e-05,9.85599e-05,0.012214851549316104
0.28,0.14,idoff_a,1.82866407446e-12,1.80202e-12,0.014570240008607339
0.28,0.14,isoff_a,1.95321363284e-15,2.02178e-15,0.03510438694834595
0.28,0.28,vtlin_v,0.372641981673,0.386861,0.0381573172812221
0.28,0.28,vtsat_v,0.373370634619,0.359111,0.03819163398736753
0.28,0.28,idlin_a,5.59258479736e-06,5.41436e-06,0.03186805454324662
0.28,0.28,idsat_a,6.35475933489e-05,6.53236e-05,0.027947661862646238
0.28,0.28,idoff_a,1.77700936804e-12,1.8195e-12,0.02391131567689266
0.28,0.28,isoff_a,1.91744511753e-14,1.94958e-14,0.01675921890864618
0.28,0.56,vtlin_v,0.327793984667,0.336848,0.027621053943981913
0.28,0.56,vtsat_v,0.326976242083,0.312989,0.04277754858852855
0.28,0.56,idlin_a,3.23406039972e-06,3.23389e-06,5.268909634931296e-05
0.28,0.56,idsat_a,4.04151231092e-05,3.96601e-05,0.018681697619971432
0.28,0.56,idoff_a,1.93383725111e-12,1.84958e-12,0.04356998039087172
0.28,0.56,isoff_a,4.78630365153e-14,4.95761e-14,0.03579094870323151
0.28,1.5,vtlin_v,0.309844688791,0.316057,0.020049758584664183
0.28,1.5,vtsat_v,0.304016287038,0.297148,0.022591839091638782
0.28,1.5,idlin_a,1.55743517853e-06,1.56508e-06,0.004908596887618516
0.28,1.5,idsat_a,1.88976760017e-05,1.88556e-05,0.0022265172551490086
0.28,1.5,idoff_a,1.89319522879e-12,1.83395e-12,0.03129377672680145
0.28,1.5,isoff_a,3.30071290953e-14,3.39451e-14,0.028417221685407515
0.28,2.7,vtlin_v,0.319691486744,0.32141,0.005375536500839365
0.28,2.7,vtsat_v,0.303947650953,0.303531,0.0013707983979927456
0.28,2.7,idlin_a,9.38792349763e-07,9.63345e-07,0.026153440900107797
0.28,2.7,idsat_a,1.1605533742e-05,1.12569e-05,0.030040302303228624
0.28,2.7,idoff_a,1.85653224425e-12,1.81569e-12,0.02199921082787298
0.28,2.7,isoff_a,1.61363353133e-14,1.56879e-14,0.02779040622255713
0.56,0.028,vtlin_v,0.626161376792,0.604286,0.03493568527665136
0.56,0.028,vtsat_v,0.359499018011,0.355746,0.01043957792086414
0.56,0.028,idlin_a,5.09726981684e-05,5.21782e-05,0.02364995134488176
0.56,0.028,idsat_a,0.00107175274447,0.00105144,0.018952827109432732
0.56,0.028,idoff_a,2.20539010107e-12,2.18047e-12,0.011299634045654525
0.56,0.028,isoff_a,3.94245068992e-13,3.80473e-13,0.03493276156176719
0.56,0.056,vtlin_v,0.637475581585,0.629206,0.01297238956892854
0.56,0.056,vtsat_v,0.522433855683,0.512899,0.018250838032950085
0.56,0.056,idlin_a,3.21099020326e-05,3.11168e-05,0.030928217457398103
0.56,0.056,idsat_a,0.000402491735595,0.000401609,0.002193176944850991
0.56,0.056,idoff_a,1.8510624211e-12,1.80053e-12,0.027299144817585805
0.56,0.056,isoff_a,5.13507776672e-16,5.29391e-16,0.030930833084822668
0.56,0.14,vtlin_v,0.453795549576,0.468115,0.03155484983794854
0.56,0.14,vtsat_v,0.428797525649,0.422681,0.014264367873257734
0.56,0.14,idlin_a,1.86436827627e-05,1.85457e-05,0.005255547626889994
0.56,0.14,idsat_a,0.000220656372293,0.000221445,0.0035740083044272734
0.56,0.14,idoff_a,1.75436202353e-12,1.8058e-12,0.029320046706494605
0.56,0.14,isoff_a,5.67084978378e-15,5.79542e-15,0.021966763530979195
0.56,0.28,vtlin_v,0.391723780037,0.375542,0.041309159314942674
0.56,0.28,vtsat_v,0.339556197149,0.343024,0.010212750879284683
0.56,0.28,idlin_a,1.20677615745e-05,1.22414e-05,0.014388619167527256
0.56,0.28,idsat_a,0.000147311811789,0.000147654,0.002322883731076006
0.56,0.28,idoff_a,1.94508362969e-12,1.86461e-12,0.04137283788811969
0.56,0.28,isoff_a,6.21239715388e-14,6.46096e-14,0.04001077844238559
0.56,0.56,vtlin_v,0.318898467332,0.326414,0.02356716459278458
0.56,0.56,vtsat_v,0.306557011993,0.303013,0.011560694599544681
0.56,0.56,idlin_a,7.64015947885e-06,7.7262e-06,0.011261613240951814
0.56,0.56,idsat_a,9.36946630305e-05,9.32429e-05,0.004821651691654441
0.56,0.56,idoff_a,1.95755471945e-12,1.94368e-12,0.0070877811547961096
0.56,0.56,isoff_a,1.40376658532e-13,1.43683e-13,0.023553356395402986
0.56,1.5,vtlin_v,0.317172569566,0.310188,0.022021354417745623
0.56,1.5,vtsat_v,0.29446092293,0.291506,0.01003502570255288
0.56,1.5,idlin_a,3.73826454939e-06,3.67405e-06,0.017177636451780408
0.56,1.5,idsat_a,4.14380232793e-05,4.09883e-05,0.010852913428538356
0.56,1.5,idoff_a,1.80390174901e-12,1.89597e-12,0.05103839554483948
0.56,1.5,isoff_a,1.00904962491e-13,9.59706e-14,0.04890108840226869
0.56,2.7,vtlin_v,0.319006522054,0.309799,0.02886311538308106
0.56,2.7,vtsat_v,0.298263984406,0.291944,0.02118923080366681
0.56,2.7,idlin_a,2.13118591586e-06,2.213e-06,0.03838899437686329
0.56,2.7,idsat_a,2.46058072045e-05,2.51814e-05,0.023392558948227934
