w_um,l_um,toxe,vth0,u0,vsat,rdsw,nfactor,eta0,cit,voff,k2,ub,uc,a0,keta
2.7,0.14,1.1827529427415393e-09,0.28367430466046145,558.6303065114912,130967.76724066213,148.48966744232652,1.0685496739815408,0.04127654546555609,0.00011694412057918287,-0.10766964414181006,0.010835199487091935,2.8139919469338714e-18,-0.039276715641173424,1.143938687860756,-0.03711517601999011
2.7,0.28,1.139805219388389e-09,0.29608404234722063,601.5750638741931,128204.89580361999,142.6367432441809,0.8695515527124498,0.03477806454207013,0.00010743664545256628,-0.10509497244598245,0.0163946477810095,2.494020943055881e-18,-0.032315142061687833,1.3869983875293523,-0.02910477970765305
2.7,0.56,1.0342461143781616e-09,0.3261018895197997,711.8385278307887,115154.90711639602,167.88217927057593,1.1448089291536168,0.03241656893713806,0.00010253971544050079,-0.1111013459822323,0.02473218742197887,2.282339819110971e-18,-0.03247993477015199,1.0408982270000735,-0.027547091203888086
2.7,1.5,1.1005180402965614e-09,0.33413858476257274,667.3612274411748,123473.79951060313,164.19545851474336,1.0368714121328224,0.028215286020967623,8.88218008562e-05,-0.09828883631952737,0.03274819212288205,1.8354415522464315e-18,-0.025121465118672928,1.1878163262148134,-0.018990298827062643
2.7,2.7,1.1262411457336452e-09,0.34643718471922763,678.9285830830595,100283.52671708312,206.68509960717157,1.2045597601150706,0.024109373736725743,8.292358583280884e-05,-0.09091731115085688,0.04160820894260621,1.6157447254901536e-18,-0.022533086515150333,1.1612741153209771,-0.015295372555953984
5.4,0.028,9.87967729377168e-10,0.24324244754137542,660.6425052142712,125540.37372099006,120.66697556419345,1.0791847048235614,0.04411470050568505,0.0001307225568612096,-0.13672207771773162,-0.007814729009946265,3.3152848566794333e-18,-0.04690736450497313,1.3609263549502686,-0.047876486006630845
5.4,0.056,9.918718507597536e-10,0.2691704016194586,648.5421960082908,120670.13729182936,125.33180327452467,1.0485832313504218,0.04534617337758895,0.00011894360565456887,-0.12873288892405318,-0.0012644559872522212,2.9434901910827164e-18,-0.0394067843105493,1.4671692471659226,-0.039101659580180456
5.4,0.14,1.031297498286266e-09,0.28751765566177323,667.276342171458,115106.56618255848,133.27580596052303,1.107815077802531,0.03909565707144154,0.00011011187622530675,-0.11910704799467442,0.008643812891247113,2.6114233994686485e-18,-0.035349974206046984,1.4336192319367542,-0.03338009405900472
5.4,0.28,1.2303044467546536e-09,0.3148536550822423,663.8591572519068,120099.36305634805,152.23767200537975,1.070385036035859,0.03492447093715572,0.0001050441373667028,-0.126001787004588,0.01472297073965876,2.398616577184657e-18,-0.03589050462885397,1.4338973057444304,-0.03234737284286079
5.4,0.56,1.072097131290636e-09,0.31108980766680944,693.2193400744148,118638.6716329716,159.34960737475984,1.025820504384648,0.033320481007187513,9.50142815469388e-05,-0.10734387680978977,0.020610889646085366,2.072505608328302e-18,-0.02936542738670421,1.3139640827632797,-0.024941762514960834
5.4,1.5,1.2745266771304007e-09,0.33598585189918234,689.3732776402483,116205.28067717337,172.12611566714392,1.0867360501746346,0.023829625647753247,8.635497430177776e-05,-0.10373807620129098,0.03118070791402147,1.730277879866271e-18,-0.027845319924764383,1.403159973283327,-0.021008180293768774
5.4,2.7,1.1183937126194224e-09,0.3386588202741155,718.9729321709827,125307.5597789945,161.59230285280898,1.0977519157826223,0.02184376855655981,7.788814498855591e-05,-0.0921042102184361,0.035304195659586514,1.4611005660086912e-18,-0.022608786638229617,1.319442025945367,-0.015396487888707434
