w_um,l_um,metric_name,target_value,simulated_value,relative_error
0.56,0.14,vtsat_v,0.428797525649,0.42525,0.008273195242044966
0.56,0.14,idlin_a,1.86436827627e-05,1.86446e-05,4.919828939791047e-05
0.56,0.14,idsat_a,0.000220656372293,0.000222577,0.008704156997785116
0.56,0.14,idoff_a,1.75436202353e-12,1.80586e-12,0.029354247173214224
0.56,0.14,isoff_a,5.67084978378e-15,5.86389e-15,0.034040791694419675
0.56,0.28,vtlin_v,0.391723780037,0.375536,0.041324476230345256
0.56,0.28,vtsat_v,0.339556197149,0.34335,0.011172827599242003
0.56,0.28,idlin_a,1.20677615745e-05,1.19536e-05,0.009460045576408366
0.56,0.28,idsat_a,0.000147311811789,0.00014253,0.032460477750753274
0.56,0.28,idoff_a,1.94508362969e-12,1.86376e-12,0.0418098370932055
0.56,0.28,isoff_a,6.21239715388e-14,6.37611e-14,0.026352604649197576
0.56,0.56,vtlin_v,0.318898467332,0.326491,0.02380862075481696
0.56,0.56,vtsat_v,0.306557011993,0.303103,0.011267111362237783
0.56,0.56,idlin_a,7.64015947885e-06,7.72281e-06,0.010817905225512556
0.56,0.56,idsat_a,9.36946630305e-05,9.24075e-05,0.013737847907953812
0.56,0.56,idoff_a,1.95755471945e-12,1.94237e-12,0.007756983393172457
0.56,0.56,isoff_a,1.40376658532e-13,1.42375e-13,0.014235567998966631
0.56,1.5,vtlin_v,0.317172569566,0.308067,0.028708565745327607
0.56,1.5,vtsat_v,0.29446092293,0.289707,0.01614449510888106
0.56,1.5,idlin_a,3.73826454939e-06,3.69839e-06,0.010666593779861452
0.56,1.5,idsat_a,4.14380232793e-05,4.30107e-05,0.03795250343144657
0.56,1.5,idoff_a,1.80390174901e-12,1.89619e-12,0.051160353406524854
0.56,1.5,isoff_a,1.00904962491e-13,9.61884e-14,0.04674262171615869
0.56,2.7,vtlin_v,0.319006522054,0.309556,0.029624855294965557
0.56,2.7,vtsat_v,0.298263984406,0.291699,0.02201065079672403
0.56,2.7,idlin_a,2.13118591586e-06,2.17879e-06,0.022336898806310932
0.56,2.7,idsat_a,2.46058072045e-05,2.52475e-05,0.026078916662512174
0.56,2.7,idoff_a,1.85981199195e-12,1.84903e-12,0.005797355859984231
0.56,2.7,isoff_a,5.05166144841e-14,4.90301e-14,0.029426249151511846
1.5,0.028,vtlin_v,0.572007008985,0.581862,0.017228794158461812
1.5,0.028,vtsat_v,0.332216358942,0.33952,0.02198459185230873
1.5,0.028,idlin_a,0.000170390558082,0.000171425,0.006071004929170967
1.5,0.028,idsat_a,0.00344152736084,0.00340803,0.009733283315180221
