corner_name,w_um,l_um,parameter_name,metric_name,sensitivity
w_min_l_max,0.14,2.7,vsat,vtlin_v,0.0
w_min_l_max,0.14,2.7,vsat,vtsat_v,1.1538461538579831e-09
w_min_l_max,0.14,2.7,vsat,idlin_a,1.9230769230892845e-15
w_min_l_max,0.14,2.7,vsat,idsat_a,3.269230769231422e-13
w_min_l_max,0.14,2.7,rdsw,idoff_a,0.0
w_min_l_max,0.14,2.7,rdsw,isoff_a,9.857142857137467e-20
w_min_l_max,0.14,2.7,rdsw,vtlin_v,0.0
w_min_l_max,0.14,2.7,rdsw,vtsat_v,-5.714285714291429e-07
w_min_l_max,0.14,2.7,rdsw,idlin_a,-1.1000000000001128e-11
w_min_l_max,0.14,2.7,rdsw,idsat_a,-4.142857142856546e-11
w_min_l_max,0.14,2.7,nfactor,idoff_a,2.5000000000042808e-15
w_min_l_max,0.14,2.7,nfactor,isoff_a,2.5770833333333336e-15
w_min_l_max,0.14,2.7,nfactor,vtlin_v,8.333333333341668e-05
w_min_l_max,0.14,2.7,nfactor,vtsat_v,-0.0006250000000017816
w_min_l_max,0.14,2.7,nfactor,idlin_a,0.0
w_min_l_max,0.14,2.7,nfactor,idsat_a,0.0
w_min_l_max,0.14,2.7,eta0,idoff_a,0.0
w_min_l_max,0.14,2.7,eta0,isoff_a,0.0
w_min_l_max,0.14,2.7,eta0,vtlin_v,0.0
w_min_l_max,0.14,2.7,eta0,vtsat_v,0.0
w_min_l_max,0.14,2.7,eta0,idlin_a,0.0
w_min_l_max,0.14,2.7,eta0,idsat_a,0.0
w_min_l_max,0.14,2.7,cit,idoff_a,1.724137931020026e-12
w_min_l_max,0.14,2.7,cit,isoff_a,1.9689655172413283e-12
w_min_l_max,0.14,2.7,cit,vtlin_v,0.0
w_min_l_max,0.14,2.7,cit,vtsat_v,-0.5172413793156477
w_min_l_max,0.14,2.7,cit,idlin_a,0.0
w_min_l_max,0.14,2.7,cit,idsat_a,0.0
