w_um,l_um,toxe,vth0,u0,vsat,rdsw,nfactor,eta0,cit,voff,k2,ub,uc,a0,keta
1.5,0.028,9.698512209750761e-10,0.25889754298428325,560.4542509739845,129291.06666789255,120.04793375136836,1.045942486479913,0.05340884517501506,0.00013483800372549536,-0.1351208806362288,-0.002763510473764871,3.4819796345112895e-18,-0.04708040180443538,1.2259301948470283,-0.04810720240591384
1.5,0.056,1.0148557567829636e-09,0.29493169830388566,594.9285485305309,132358.77138568021,153.49821670074417,1.0637771714390907,0.049149523923950486,0.0001319450041138473,-0.14186960701714188,0.0046322027941601025,3.323510821811459e-18,-0.04356535066920713,1.2034297295589385,-0.043167612398239456
1.5,0.14,1.0324602102244011e-09,0.2989646467388703,593.0728031293803,126137.38587325017,140.0873400992181,1.006434688222464,0.043028140543859734,0.00011866479364409741,-0.1197455916696161,0.012654224185367482,2.8844353568351577e-18,-0.0391978976138952,1.170893814393454,-0.03701008531695248
1.5,0.28,1.0518296543050158e-09,0.31082603169734213,604.6656306850736,123176.64077254182,148.28209694160603,0.9958568000069038,0.03415873190925211,0.0001110855267089919,-0.11329022849225938,0.01861449669312822,2.614689225158029e-18,-0.036071971211145304,1.1488781704596707,-0.032351325276803226
1.5,0.56,1.1046065344298529e-09,0.3250031762164187,617.5433057102813,111784.3047073036,174.080157350546,1.093824977087266,0.033972825744801115,0.00010641722576635336,-0.10662303141926001,0.02725400441751376,2.4085104982503187e-18,-0.03250643985621366,1.1225064386895243,-0.02758243131863698
1.5,1.5,1.130140771352503e-09,0.3419814870917208,632.748413051612,108968.27367372012,186.4249133824814,1.1033556809700922,0.023192979124214946,9.52328669591202e-05,-0.09753981055165722,0.0368263769582315,2.013228735583826e-18,-0.027880346258826696,1.0870087131536006,-0.02100282898461486
1.5,2.7,1.1215433387938212e-09,0.3504171615529294,643.3049730870058,113599.57899924817,174.687228838306,1.0089538307698587,0.02052425107692785,8.664582059231375e-05,-0.09203662615125728,0.041875911688163424,1.7384277450945904e-18,-0.02257628309180117,1.065342021671523,-0.01702858420124867
2.7,0.028,9.424718638226787e-10,0.2239192967227528,617.2072794183949,119002.75498883458,128.80420827320634,0.8381147534753668,0.059408924586498935,0.00013211758590835776,-0.11780681555343783,-0.004774231034417421,3.4638080944075578e-18,-0.04738406752832839,1.296672197575697,-0.04790001177477671
2.7,0.056,1.0952272798923135e-09,0.30044358715767444,592.120066911532,117747.08074443736,134.48277361118687,1.103443924964037,0.0443858015276076,0.0001246092393724904,-0.14042002460624575,0.0020155779405370625,3.188648430422614e-18,-0.04399238389822561,1.2709177107973695,-0.043219015990163506
2.7,0.14,1.050507339776672e-09,0.2947170481900798,625.5430705020921,117535.86257602584,148.48966744232652,1.0685496739815408,0.04127654546555609,0.00011694412057918287,-0.11992342315792903,0.010835199487091935,2.8139919469338714e-18,-0.039276715641173424,1.2312577793525545,-0.03711517601999011
2.7,0.28,9.942413798850302e-10,0.3153526930455411,667.3317145398196,127838.2735107369,142.73005770579945,0.8731122074357529,0.03604580732811407,0.00010743665426298325,-0.1250316262867129,0.017863781862130036,2.554320264938968e-18,-0.03589765088556317,1.2974269972184964,-0.032282033479324235
2.7,0.56,1.0793708883371885e-09,0.3303948768204829,694.845793392134,115154.90711639602,167.88217927057593,1.0716102394105895,0.03241656893713806,0.00010253971544050079,-0.11738118191569771,0.02473218742197887,2.282339819110971e-18,-0.03247993477015199,1.26918652708829,-0.027547091203888086
2.7,1.5,1.1005180402965614e-09,0.33414197109357247,667.4461853334284,123473.79951060313,164.19545851474336,1.0368714121328224,0.028215286020967623,8.88218008562e-05,-0.09828883631952737,0.03417110375897454,1.8798180364394195e-18,-0.027868303936534906,1.1480911686088235,-0.021038825642796136
2.7,2.7,1.1734365794042927e-09,0.3338241730332719,650.1616347395639,100283.52671708312,206.68509960717157,1.2045597601150706,0.024109373736725743,8.292358583280884e-05,-0.0791813118622547,0.041777764700367835,1.654809478155724e-18,-0.02496378191325261,1.2802646758829197,-0.016951709217670148
5.4,0.028,9.80035221121735e-10,0.22587678599940936,643.5535627754881,138086.2009654944,108.6408422361123,1.1096034477184027,0.044593736540904164,0.0001276366159000269,-0.12267983722003105,-0.007814729009946265,3.3152848566794333e-18,-0.04690736450497313,1.3609263549502686,-0.047876486006630845
5.4,0.056,9.918718507597536e-10,0.2688198978439034,648.9776844539649,120670.13729182936,125.33180327452467,1.0485832313504218,0.04534617337758895,0.00011894360565456887,-0.12873288892405318,-0.0012644559872522212,2.9434901910827164e-18,-0.04374331740036697,1.3349158493559576,-0.043404901373119247
5.4,0.14,1.031177434926549e-09,0.28747561621453116,668.5675396240235,117469.31885375037,139.43376574160123,1.1077630235498193,0.03953435234695649,0.00011011187622530675,-0.11909275840935342,0.007938447081759045,2.6745612253862783e-18,-0.03957241661819423,1.3105086306266884,-0.037022968058115835
5.4,0.28,1.1437736711912365e-09,0.31358230324812564,679.9193645408799,118454.31424507487,147.49139290343413,1.070385036035859,0.03492447093715572,0.0001050441373667028,-0.12565397632736477,0.01472297073965876,2.398616577184657e-18,-0.036170401763688326,1.2614661680303936,-0.0323486123050616
5.4,0.56,1.023219168261445e-09,0.3083897002705581,717.8593877259189,117319.56284538342,159.61664527026142,1.0565174201468384,0.03033051236340295,9.731416285761353e-05,-0.10339531983179197,0.02150749439755847,2.122671928983035e-18,-0.03276838690918242,1.0778720018914059,-0.027674256552007365
5.4,1.5,1.2508062807401973e-09,0.3221492872241066,666.2532394258408,116205.28067717337,172.12611566714392,1.1185709660991123,0.023829625647753247,8.635497430177776e-05,-0.08903008846970989,0.03118070791402147,1.730277879866271e-18,-0.027845319924764383,1.2681863687759836,-0.021008180293768774
5.4,2.7,1.0358430012903781e-09,0.3437678219056457,791.9284488296345,114744.28916789021,179.48540180370452,1.1863363525854573,0.01990470403772306,7.977128969053536e-05,-0.09574752231426502,0.03690470403772306,1.4964264014146147e-18,-0.025047647981138472,1.2763215129636325,-0.01706353064151796
